Month,Borough,Monthly Miles,Monthly Road Call Count,Monthly MDBF
03/01/2016,Queens,4427426,637,6950
03/01/2016,Staten Island,2289919,111,20630
02/01/2016,Bronx,2126851,460,4624
02/01/2016,Brooklyn,2942948,488,6031
02/01/2016,Manhattan,1264848,387,3268
02/01/2016,Queens,4042346,688,5876
02/01/2016,Staten Island,2055991,173,11884
01/01/2016,Bronx,2122954,455,4666
01/01/2016,Brooklyn,2939497,382,7695
01/01/2016,Manhattan,1259018,346,3639
01/01/2016,Queens,4026268,698,5768
01/01/2016,Staten Island,2042149,164,12452
12/01/2015,Bronx,2232795,434,5145
12/01/2015,Brooklyn,3055832,459,6658
12/01/2015,Manhattan,1298172,370,3509
12/01/2015,Queens,4264820,769,5546
12/01/2015,Staten Island,2208217,147,15022
11/01/2015,Bronx,2155799,471,4577
11/01/2015,Brooklyn,2969183,396,7498
11/01/2015,Manhattan,1268379,327,3879
11/01/2015,Queens,4048789,721,5616
11/01/2015,Staten Island,2034175,185,10996
10/01/2015,Bronx,2288228,537,4261
10/01/2015,Brooklyn,3134659,452,6935
10/01/2015,Manhattan,1322507,433,3054
10/01/2015,Queens,4368274,880,4964
10/01/2015,Staten Island,2223509,243,9150
09/01/2015,Bronx,2239157,493,4542
09/01/2015,Brooklyn,2969334,441,6733
09/01/2015,Manhattan,1286199,419,3070
09/01/2015,Queens,4166524,932,4471
09/01/2015,Staten Island,2115382,268,7893
08/01/2015,Bronx,2292422,616,3721
08/01/2015,Brooklyn,3035716,491,6183
08/01/2015,Manhattan,1346204,434,3102
08/01/2015,Queens,4156814,1033,4024
08/01/2015,Staten Island,2112756,264,8003
07/01/2015,Bronx,2324600,618,3761
07/01/2015,Brooklyn,3053172,515,5928
07/01/2015,Manhattan,1347279,463,2910
07/01/2015,Queens,4245663,1080,3931
07/01/2015,Staten Island,2163328,343,6307
06/01/2015,Bronx,2248911,641,3508
06/01/2015,Brooklyn,3019898,524,5763
06/01/2015,Manhattan,1301651,493,2640
06/01/2015,Queens,4218402,1088,3877
06/01/2015,Staten Island,2148061,328,6549
05/01/2015,Bronx,2231238,558,3999
05/01/2015,Brooklyn,3075059,480,6406
05/01/2015,Manhattan,1301748,444,2932
05/01/2015,Queens,4164297,982,4241
05/01/2015,Staten Island,2086027,271,7698
04/01/2015,Bronx,2279624,511,4461
04/01/2015,Brooklyn,3044734,474,6423
04/01/2015,Manhattan,1316299,430,3061
04/01/2015,Queens,4270979,950,4496
04/01/2015,Staten Island,2167176,233,9301
03/01/2015,Bronx,2258765,609,3709
03/01/2015,Brooklyn,3117255,617,5052
03/01/2015,Manhattan,1351993,434,3115
03/01/2015,Queens,4310871,991,4350
03/01/2015,Staten Island,2184715,303,7210
02/01/2015,Bronx,1962258,518,3788
02/01/2015,Brooklyn,2767879,571,4847
02/01/2015,Manhattan,1200788,422,2845
02/01/2015,Queens,3675299,956,3844
02/01/2015,Staten Island,1906088,278,6856
01/01/2015,Bronx,2166371,434,4992
01/01/2015,Brooklyn,2901602,576,5038
01/01/2015,Manhattan,1283763,458,2803
01/01/2015,Queens,4032200,810,4978
01/01/2015,Staten Island,2029610,230,8824
