month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Brooklyn,LCL/LTD,B83,Off-Peak,112179.18,2.9273067,0.20056605,0.68871564
2025-01-01,Brooklyn,LCL/LTD,B83,Peak,70697.98,3.0431519,0.26300514,0.6782541
2025-01-01,Brooklyn,LCL/LTD,B84,Off-Peak,6344.167,4.092135,1.0903105,0.71153957
2025-01-01,Brooklyn,LCL/LTD,B84,Peak,5906.2075,2.4890084,1.5938531,0.77914834
2025-01-01,Brooklyn,LCL/LTD,B9,Off-Peak,175622.64,2.2418814,0.9756198,0.6699561
2025-01-01,Brooklyn,LCL/LTD,B9,Peak,138871.97,1.9282521,0.55286634,0.69714737
2025-01-01,Brooklyn,EXP,BM1,Off-Peak,11613.983,5.875491,5.275603,0.3929597
2025-01-01,Brooklyn,EXP,BM1,Peak,13819.947,4.400245,2.8504255,0.47752318
2025-01-01,Brooklyn,EXP,BM2,Off-Peak,9558.152,5.2859454,8.729128,0.291326
2025-01-01,Brooklyn,EXP,BM2,Peak,9444.076,5.44956,9.060101,0.29337353
2025-01-01,Brooklyn,EXP,BM3,Off-Peak,7857.114,6.843538,4.538832,0.3743978
2025-01-01,Brooklyn,EXP,BM3,Peak,8540.706,5.0130167,2.097491,0.5150234
2025-01-01,Brooklyn,EXP,BM4,Off-Peak,5575.3613,4.917346,2.0486767,0.520113
2025-01-01,Brooklyn,EXP,BM4,Peak,6747.624,5.332758,1.3234831,0.5225865
2025-01-01,Brooklyn,EXP,BM5,Off-Peak,8658.109,7.2327185,1.9122431,0.42753983
2025-01-01,Brooklyn,EXP,BM5,Peak,8407.603,5.5189166,1.5745329,0.45394954
2025-01-01,Brooklyn,EXP,X27,Off-Peak,19813.057,2.6140378,-1.6597401,0.76034766
2025-01-01,Brooklyn,EXP,X27,Peak,20784.08,2.3833144,-0.8712841,0.7212177
2025-01-01,Brooklyn,EXP,X28,Off-Peak,20165.908,3.6003945,-3.6769793,0.75698256
2025-01-01,Brooklyn,EXP,X28,Peak,22089.117,2.4097123,-3.1825356,0.72938085
2025-01-01,Brooklyn,EXP,X37,Off-Peak,4699.0015,1.4800599,1.2292782,0.7341093
2025-01-01,Brooklyn,EXP,X37,Peak,15862.67,1.5976173,-1.6052262,0.74521226
2025-01-01,Brooklyn,EXP,X38,Off-Peak,4366.836,2.0711894,-1.5767308,0.71781904
2025-01-01,Brooklyn,EXP,X38,Peak,13490.405,2.580808,-6.258187,0.8075796
2025-01-01,Manhattan,LCL/LTD,M1,Off-Peak,147277.2,1.9026532,-0.109652415,0.74988776
2025-01-01,Manhattan,LCL/LTD,M1,Peak,112089,1.6610594,-0.44445586,0.78378105
2025-01-01,Manhattan,LCL/LTD,M10,Off-Peak,102869.08,1.561061,-0.071266145,0.8196193
2025-01-01,Manhattan,LCL/LTD,M10,Peak,80819.59,1.3894608,-0.2678041,0.80828315
2025-01-01,Manhattan,LCL/LTD,M100,Off-Peak,191719.36,1.543614,-0.12632532,0.7720926
2025-01-01,Manhattan,LCL/LTD,M100,Peak,130714.64,1.7628566,-0.3291771,0.7946233
2025-01-01,Manhattan,LCL/LTD,M101,Off-Peak,371414.12,2.3907483,-0.122245096,0.73316896
2025-01-01,Manhattan,LCL/LTD,M101,Peak,220784.14,2.5175989,-0.18031247,0.7314796
2025-01-01,Manhattan,LCL/LTD,M102,Off-Peak,178894.11,2.2863684,-0.054355815,0.74231267
2025-01-01,Manhattan,LCL/LTD,M102,Peak,117596.86,1.8319027,-0.1106148,0.7592544
2025-01-01,Manhattan,LCL/LTD,M103,Off-Peak,126145.72,2.0728366,-0.3303381,0.77256924
2025-01-01,Manhattan,LCL/LTD,M103,Peak,76893.38,2.2142048,-0.33104813,0.7651817
2025-01-01,Manhattan,LCL/LTD,M104,Off-Peak,101751.69,1.811512,-0.26740062,0.7664986
