month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Brooklyn,2,LCL/LTD,B100,Off-Peak,192,1936.095,10.040916
2025-01-01,Brooklyn,2,LCL/LTD,B100,Peak,95,913.41003,9.581587
2025-01-01,Brooklyn,1,LCL/LTD,B103,Off-Peak,3655,30267.84,8.280208
2025-01-01,Brooklyn,1,LCL/LTD,B103,Peak,1977,15166.327,7.670842
2025-01-01,Brooklyn,2,LCL/LTD,B103,Off-Peak,935,8392.556,8.971742
2025-01-01,Brooklyn,2,LCL/LTD,B103,Peak,384,3361.988,8.747527
2025-01-01,Brooklyn,1,LCL/LTD,B11,Off-Peak,2335,13503.609,5.7819242
2025-01-01,Brooklyn,1,LCL/LTD,B11,Peak,1287,6742.776,5.2381697
2025-01-01,Brooklyn,2,LCL/LTD,B11,Off-Peak,606,4210.243,6.943907
2025-01-01,Brooklyn,2,LCL/LTD,B11,Peak,253,1647.43,6.487669
2025-01-01,Brooklyn,1,LCL/LTD,B12,Off-Peak,2615,16050.868,6.136829
2025-01-01,Brooklyn,1,LCL/LTD,B12,Peak,1352,7053.298,5.2137723
2025-01-01,Brooklyn,2,LCL/LTD,B12,Off-Peak,728,5051.626,6.9302173
2025-01-01,Brooklyn,2,LCL/LTD,B12,Peak,284,1811.944,6.3786993
2025-01-01,Brooklyn,1,LCL/LTD,B13,Off-Peak,2025,16396.734,8.097131
2025-01-01,Brooklyn,1,LCL/LTD,B13,Peak,1100,8111.692,7.3677645
2025-01-01,Brooklyn,2,LCL/LTD,B13,Off-Peak,522,4632.716,8.872102
2025-01-01,Brooklyn,2,LCL/LTD,B13,Peak,188,1579.836,8.376242
2025-01-01,Brooklyn,1,LCL/LTD,B14,Off-Peak,1578,10833.499,6.861073
2025-01-01,Brooklyn,1,LCL/LTD,B14,Peak,794,4748.199,5.9777365
2025-01-01,Brooklyn,2,LCL/LTD,B14,Off-Peak,426,3195.028,7.4995623
2025-01-01,Brooklyn,2,LCL/LTD,B14,Peak,164,1162.554,7.0754895
2025-01-01,Brooklyn,1,LCL/LTD,B15,Off-Peak,4694,37583.1,8.005404
2025-01-01,Brooklyn,1,LCL/LTD,B15,Peak,1736,11144.134,6.417594
2025-01-01,Brooklyn,2,LCL/LTD,B15,Off-Peak,1568,13418.587,8.553438
2025-01-01,Brooklyn,2,LCL/LTD,B15,Peak,530,4074.595,7.684902
2025-01-01,Brooklyn,1,LCL/LTD,B16,Off-Peak,2045,14496.914,7.0859814
2025-01-01,Brooklyn,1,LCL/LTD,B16,Peak,1055,6685.298,6.33322
2025-01-01,Brooklyn,2,LCL/LTD,B16,Off-Peak,505,4323.674,8.550748
2025-01-01,Brooklyn,2,LCL/LTD,B16,Peak,202,1625.6859,8.013459
2025-01-01,Brooklyn,1,LCL/LTD,B17,Off-Peak,2089,16372.846,7.8340454
2025-01-01,Brooklyn,1,LCL/LTD,B17,Peak,1140,7494.017,6.568507
2025-01-01,Brooklyn,2,LCL/LTD,B17,Off-Peak,692,5981.534,8.633276
2025-01-01,Brooklyn,2,LCL/LTD,B17,Peak,277,2256.51,8.117826
2025-01-01,Brooklyn,1,LCL/LTD,B2,Off-Peak,452,3977.0781,8.785202
2025-01-01,Brooklyn,1,LCL/LTD,B2,Peak,269,2155.674,7.9844623
2025-01-01,Brooklyn,2,LCL/LTD,B2,Off-Peak,145,1377.581,9.45059
2025-01-01,Brooklyn,2,LCL/LTD,B2,Peak,66,577.213,8.637968
2025-01-01,Brooklyn,1,LCL/LTD,B20,Off-Peak,2327,16960.982,7.2869043
2025-01-01,Brooklyn,1,LCL/LTD,B20,Peak,1147,7389.503,6.442171
2025-01-01,Brooklyn,2,LCL/LTD,B20,Off-Peak,551,4499.792,8.153093
2025-01-01,Brooklyn,2,LCL/LTD,B20,Peak,226,1769.286,7.8078933
2025-01-01,Brooklyn,1,LCL/LTD,B24,Off-Peak,874,7488.276,8.567157
2025-01-01,Brooklyn,1,LCL/LTD,B24,Peak,441,3217.658,7.283985
2025-01-01,Brooklyn,2,LCL/LTD,B24,Off-Peak,268,2576.5159,9.590774
2025-01-01,Brooklyn,2,LCL/LTD,B24,Peak,99,918.716,9.226217
2025-01-01,Brooklyn,1,LCL/LTD,B25,Off-Peak,2384,15111.798,6.3364906
2025-01-01,Brooklyn,1,LCL/LTD,B25,Peak,1062,6166.788,5.804518
